"Player","Team","Positions","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","SLG","OPS"
"Jose Ramirez","CLE","2B,3B","565","102","31","96","26",".288",".379","163","41","5","83","76",".543",".922"
"Nolan Arenado","COL","3B","587","98","37","112","2",".293",".364","172","37","3","66","115",".558",".922"
"Manny Machado","","3B,SS","575","84","33","96","9",".288",".354","166","32","3","59","101",".528",".881"
"Alex Bregman","HOU","3B,SS","566","97","27","92","11",".287",".374","162","44","2","79","89",".518",".892"
"Kris Bryant","CHC","3B,RF","556","98","26","80","6",".281",".371","156","37","4","79","145",".503",".873"
"Javier Baez","CHC","2B,3B,SS","574","87","30","96","18",".281",".317","161","34","7","31","161",".518",".836"
"Anthony Rendon","WSH","3B","540","87","24","93","5",".297",".375","161","43","2","67","91",".517",".891"
"Eugenio Suarez","CIN","3B","538","79","30","92","4",".271",".349","146","25","2","65","143",".493",".842"
"Vladimir Guerrero Jr.","TOR","3B","511","77","25","84","5",".305",".363","156","35","2","46","82",".525",".888"
"Matt Carpenter","STL","1B,2B,3B","534","99","29","75","3",".254",".371","136","37","1","99","144",".495",".865"
"Justin Turner","LAD","3B","492","76","20","71","4",".295",".367","145","35","1","56","79",".489",".856"
"Josh Donaldson","ATL","3B,DH","469","80","27","75","4",".261",".364","122","27","1","76","119",".494",".857"
"Miguel Andujar","NYY","3B,DH","536","75","24","86","3",".287",".322","154","38","2","28","92",".502",".824"
"Matt Chapman","OAK","3B","537","91","25","74","2",".266",".336","143","38","7","56","149",".500",".835"
"Travis Shaw","MIL","3B,2B","507","75","28","88","6",".254",".338","129","27","1","65","121",".479",".817"
"Wil Myers","SD","3B,LF,RF","509","71","22","69","20",".252",".325","128","32","3","55","151",".457",".782"
"Rafael Devers","BOS","3B","523","71","24","78","6",".260",".318","136","31","1","44","136",".461",".779"
"Mike Moustakas","","3B,DH","538","70","31","88","3",".259",".315","139","28","1","44","101",".487",".802"
"Max Muncy","LAD","1B,2B,3B","434","73","29","73","3",".250",".361","109","20","2","75","134",".502",".863"
"Jurickson Profar","OAK","1B,2B,3B,SS","530","77","18","70","9",".257",".323","137","33","5","52","92",".438",".761"
"Miguel Sano","MIN","1B,3B,DH","486","72","29","82","0",".235",".317","115","23","1","58","200",".466",".782"
"Carlos Santana","CLE","1B,3B","523","84","24","83","3",".248",".366","130","29","2","98","86",".450",".816"
