"Player","Team","Positions","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","SLG","OPS"
"Miguel Rojas","MIA","1B,3B,SS","334","35","7","36","4",".259",".302","86","14","1","21","48",".361",".663"
"Brock Holt","BOS","2B,SS,RF","254","34","5","31","5",".262",".335","67","14","1","28","56",".385",".719"
"Alex Blandino","CIN","2B,3B,SS","121","15","3","11","2",".247",".319","30","6","0","13","34",".353",".672"
"Freddy Galvis","TOR","SS","310","34","7","35","6",".251",".299","78","16","2","21","69",".390",".689"
"Erik Gonzalez","PIT","1B,2B,3B,SS","319","37","6","33","6",".254",".287","81","18","2","15","84",".375",".662"
"Nick Gordon","MIN","SS","59","6","1","6","2",".229",".272","14","3","1","4","13",".340",".612"
"Richie Martin","BAL","SS","274","33","5","26","9",".253",".305","70","14","3","20","60",".372",".676"
"Charlie Culberson","ATL","3B,SS,LF","215","28","7","28","3",".255",".308","55","12","1","17","58",".410",".718"
"Greg Garcia","SD","2B,3B,SS","283","31","5","26","4",".247",".327","70","13","1","34","65",".342",".669"
"Dylan Moore","SEA","SS","171","20","4","19","4",".246",".298","42","9","2","13","38",".382",".680"
"Alcides Escobar","","SS,CF","265","27","3","22","4",".244",".277","65","12","2","12","43",".332",".610"
"Ronald Torreyes","MIN","2B,3B,SS","171","19","2","18","1",".277",".306","48","10","1","7","27",".357",".663"
"Kelby Tomlinson","ARI","2B,SS","103","10","0","6","3",".248",".308","26","3","1","9","26",".294",".602"
"Jose Reyes","","2B,3B,SS","143","21","4","15","5",".235",".301","34","9","2","14","24",".386",".687"
"Sean Rodriguez","PHI","2B,SS,LF,CF","97","14","4","13","1",".220",".302","21","5","1","11","35",".402",".703"
"Ronny Rodriguez","DET","2B,3B,SS","255","29","7","30","5",".259",".296","66","14","2","14","54",".411",".707"
"Jose Rondon","CWS","2B,SS,DH","178","22","7","22","3",".248",".289","44","10","2","10","46",".424",".713"
"Drew Jackson","BAL","2B,3B,SS","172","22","5","18","6",".237",".298","41","8","1","15","45",".375",".673"
"Adeiny Hechavarria","","SS","210","23","3","20","1",".252",".292","53","9","2","12","39",".357",".649"
"Blake Trahan","CIN","IF","122","14","3","13","2",".262",".316","32","9","1","10","26",".292",".608"
"Tzu-Wei Lin","BOS","SS","100","14","2","12","2",".273",".327","27","8","2","8","21",".419",".746"
"Richard Urena","TOR","SS","112","12","2","11","2",".244",".291","27","7","1","7","27",".350",".640"
"Hanser Alberto","BAL","SS","80","9","2","9","1",".259",".296","21","5","0","4","15",".353",".649"
"Abiatal Avelino","SF","IF","72","8","2","8","2",".259",".305","19","4","1","5","16",".334",".639"
"Andrew Romine","PHI","1B,2B,3B,SS,CF","111","15","1","7","2",".222",".270","25","3","1","7","29",".303",".573"
"Gregorio Petit","PHI","2B,SS","60","6","0","5","1",".233",".276","14","3","0","4","12",".283",".559"
"Eric Sogard","TOR","2B,SS","54","6","0","4","1",".215",".300","12","3","0","7","10",".271",".571"
"Pete Kozma","DET","3B,SS","59","5","0","4","1",".169",".210","10","3","0","3","14",".221",".430"
"Kristopher Negron","SEA","SS,LF","67","9","3","8","2",".243",".313","16","4","0","7","20",".367",".680"
"Stephen Wilkerson","BAL","IF","236","26","5","24","4",".234",".285","55","11","1","17","62",".348",".634"
"Tyler France","SD","IF","185","22","6","23","2",".247",".303","46","10","1","15","42",".399",".702"
""
""
