"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L"
"Aaron Loup","","RP","46.0","51","1","0","0","3.91","1.49","20","50","19","5","65","3","2"
"Tyler Webb","STL","RP","18.0","18","0","0","0","4.00","1.39","8","18","8","3","19","1","1"
"Pat Venditte","SF","RP","24.5","23","0","0","0","3.67","1.33","10","22","11","3","24","1","2"
"Zach Duke","CIN","RP","42.4","43","1","0","0","3.68","1.45","17","43","18","3","71","2","3"
"Bobby Poyner","BOS","RP","34.3","35","1","1","4","4.01","1.27","15","35","8","5","35","2","1"
"Yimi Garcia","LAD","RP","22.0","19","0","1","3","5.11","1.32","13","25","5","5","24","1","2"
"Cory Gearrin","SEA","RP","50.1","48","1","1","9","3.73","1.33","21","46","21","6","53","2","3"
"Sam Tuivailala","SEA","RP","28.7","25","0","1","5","3.77","1.35","12","29","10","3","24","2","1"
"Steven Okert","SF","RP","20.7","23","1","0","0","4.93","1.27","11","20","6","3","39","1","1"
"Kevin McCarthy","KC","RP","69.3","46","4","2","18","3.96","1.39","31","74","22","7","61","3","4"
"Joey Krehbiel","ARI","RP","20.5","22","0","0","0","4.61","1.46","11","18","12","3","17","1","1"
"Tony Sipp","","RP","37.5","39","1","0","0","3.72","1.25","16","33","14","5","51","2","2"
"Bobby Wahl","MIL","RP","28.7","38","0","1","3","4.91","1.53","16","28","16","3","29","1","2"
"Drew Smith","NYM","RP","42.0","32","0","1","11","3.91","1.42","18","46","14","6","50","2","2"
"Austin Davis","PHI","RP","33.5","36","1","0","0","3.63","1.34","14","33","12","4","30","2","2"
"Blake Wood","","RP","35.5","36","0","0","0","3.93","1.48","16","35","17","4","40","2","2"
"Grant Dayton","ATL","RP","19.5","23","0","0","0","3.69","1.21","8","16","8","3","21","2","1"
"Jaime Schultz","LAD","RP","27.0","32","1","0","0","4.83","1.30","15","20","16","3","17","2","2"
"Colten Brewer","BOS","SP,RP","23.4","24","0","0","0","5.14","1.74","13","28","12","2","17","2","1"
"Ben Taylor","CLE","RP","22.0","24","0","0","0","3.89","1.20","10","20","7","3","21","2","1"
"John Axford","","RP","53.0","51","0","0","0","4.50","1.49","27","54","25","6","55","3","3"
"Matthew Bowman","CIN","RP","26.8","26","1","1","7","4.29","1.38","13","27","10","3","29","1","2"
"Connor Sadzeck","TEX","RP","50.0","49","0","2","13","4.26","1.65","24","48","35","8","67","2","3"
"Vidal Nuno","WSH","RP","31.6","28","0","0","0","3.84","1.30","14","32","10","6","25","3","2"
"Matthew Wisler","CIN","SP,RP","41.0","33","0","0","0","4.68","1.32","21","44","10","7","38","2","2"
"Tyler Duffey","MIN","RP","31.0","28","1","1","6","4.79","1.35","17","34","8","5","28","2","2"
"Chih-Wei Hu","CLE","RP","21.0","17","1","0","0","4.71","1.27","11","20","6","4","15","1","1"
"Zach McAllister","TEX","RP","53.7","54","1","1","4","4.69","1.40","28","59","16","8","44","2","3"
"Jerry Blevins","OAK","RP","42.5","47","1","2","11","4.13","1.36","20","37","21","5","65","2","3"
"Marcus Walden","BOS","SP,RP","22.3","18","0","0","0","4.03","1.40","10","23","8","3","22","1","1"
"Mike Mayers","STL","RP","28.5","26","0","1","7","4.66","1.52","15","33","10","4","25","2","2"
"Dan Jennings","","RP","62.0","45","1","0","0","3.85","1.38","27","60","26","5","69","4","3"
"Trevor Gott","SF","RP","26.5","24","0","1","2","4.58","1.45","14","28","11","3","30","1","2"
"Wander Suero","WSH","SP,RP","33.3","32","0","0","2","3.65","1.31","14","32","12","4","29","2","2"
"Reymin Guduan","HOU","RP","28.1","32","0","1","8","5.56","1.67","17","28","19","4","30","1","1"
"Josh Osich","SF","RP","19.5","18","0","1","3","4.85","1.51","11","20","10","2","21","1","1"
"Aaron Wilkerson","MIL","SP,RP","19.5","18","0","0","0","4.38","1.33","10","19","7","3","10","1","1"
"Aaron Brooks","OAK","SP,RP","26.4","20","0","0","0","4.43","1.41","13","27","10","2","13","2","2"
"Daniel Hudson","LAA","RP","50.0","50","0","1","6","4.05","1.34","23","46","21","6","49","3","3"
"Luke Farrell","TEX","RP","25.5","26","0","0","0","5.12","1.53","15","26","14","4","20","1","2"
"Paul Sewald","NYM","RP","43.8","47","1","1","4","4.83","1.41","24","45","17","6","33","2","3"
"Miguel Diaz","SD","RP","25.3","30","0","0","0","4.63","1.44","13","23","14","3","21","1","2"
"Chris Rusin","COL","RP","51.3","44","1","1","10","4.34","1.37","25","52","19","5","39","2","3"
"Matthew Festa","SEA","RP","35.6","32","1","0","0","3.92","1.59","16","44","13","4","30","1","1"
"Gabriel Ynoa","BAL","SP,RP","30.5","18","0","0","0","5.16","1.44","18","35","9","4","17","2","2"
"Dillon Maples","CHC","RP","15.0","22","0","0","0","4.20","1.70","7","11","15","2","18","1","1"
"Kyle McGowin","WSH","SP,RP","24.0","21","0","0","0","4.88","1.40","13","25","9","4","18","2","1"
"Yacksel Rios","PHI","RP","20.5","21","0","0","0","4.39","1.39","10","19","10","3","20","1","2"
"Luke Jackson","ATL","RP","34.0","33","1","1","3","4.15","1.52","16","35","17","4","27","2","2"
"Hector Velazquez","BOS","SP,RP","47.8","32","0","1","3","4.05","1.39","22","52","14","6","33","3","2"
"Scott Barlow","KC","SP,RP","20.5","19","0","0","0","4.83","1.46","11","21","10","3","12","1","1"
"Daniel Stumpf","DET","RP","42.8","43","1","1","9","4.68","1.50","22","47","18","7","57","2","3"
"Jim Johnson","","RP","58.0","50","1","0","0","4.11","1.37","27","59","21","7","57","3","3"
"T.J. McFarland","ARI","RP","44.8","26","1","1","4","3.77","1.38","19","47","15","4","41","3","2"
"Williams Jerez","LAA","RP","25.0","26","0","1","3","4.55","1.45","13","24","12","4","33","1","1"
"Matt Belisle","","RP","40.0","32","1","0","0","4.50","1.39","20","43","13","5","37","2","2"
"Stephen Tarpley","NYY","RP","26.0","24","0","0","0","3.63","1.37","11","24","12","3","27","2","2"
"Victor Alcantara","DET","RP","41.5","31","0","1","4","4.17","1.35","19","42","14","6","43","2","2"
"Pierce Johnson","SF","RP","42.0","38","0","0","0","5.14","1.54","24","40","25","6","40","2","3"
"Chasen Bradford","SEA","RP","49.3","37","1","1","3","4.57","1.40","25","54","16","7","44","3","3"
"Gerson Bautista","SEA","RP","26.0","28","0","0","0","5.71","1.65","17","28","16","4","28","1","2"
"Alec Mills","CHC","SP,RP","22.5","20","0","0","0","3.80","1.18","10","18","8","3","20","2","1"
"Jake Barrett","SF","RP","23.7","24","1","0","0","4.44","1.44","12","21","13","3","25","1","1"
"Jesus Reyes","CIN","SP,RP","23.0","17","0","0","0","4.11","1.41","11","23","10","3","21","2","1"
"Jorge De La Rosa","","RP","42.7","36","1","0","0","4.43","1.45","21","43","19","5","33","2","2"
"Jackson Stephens","CIN","RP","26.0","21","0","0","0","4.85","1.44","14","28","10","4","20","2","2"
"Nick Burdi","PIT","RP","30.3","33","0","0","0","4.85","1.44","16","30","14","4","29","1","1"
"Adrian Houser","MIL","RP","27.0","20","1","0","0","4.44","1.41","13","28","10","4","21","1","2"
"Steven Brault","PIT","SP,RP","56.4","51","0","1","6","4.31","1.52","27","55","31","7","38","3","3"
"Tanner Anderson","OAK","RP","12.5","8","0","0","0","4.68","1.64","7","15","6","1","7","1","1"
"Donnie Hart","BAL","RP","29.7","25","0","1","3","4.45","1.64","15","36","12","3","29","1","1"
"Luis Cessa","NYY","SP,RP","44.0","37","1","0","2","4.65","1.36","23","46","14","8","26","2","2"
"Merandy Gonzalez","MIA","SP,RP","38.3","27","0","0","0","4.54","1.54","19","43","16","6","25","2","2"
"Jimmy Yacabonis","BAL","RP","50.3","37","0","0","0","4.92","1.46","28","49","25","9","21","2","4"
"Tyler Bashlor","NYM","RP","43.0","40","0","0","0","4.08","1.21","20","34","19","8","41","3","3"
"Yefry Ramirez","BAL","SP,RP","49.1","45","0","0","0","5.05","1.47","28","48","24","8","18","2","4"
"Nick Rumbelow","SEA","RP","47.6","46","1","0","1","4.92","1.32","26","47","16","5","22","2","1"
"Austin Brice","MIA","RP","26.7","22","1","0","0","4.94","1.32","15","27","9","5","28","2","1"
"Dovydas Neverauskas","PIT","RP","30.7","31","0","1","4","5.08","1.40","17","29","14","3","27","1","1"
"Oliver Drake","TB","RP","38.0","41","1","0","0","3.87","1.41","16","38","15","4","31","2","2"
"Yency Almonte","COL","RP","21.7","18","1","1","4","4.98","1.52","12","24","9","4","17","1","2"
"Clay Holmes","PIT","SP,RP","26.3","23","0","0","0","4.67","1.57","14","26","15","2","15","1","1"
"Brett Cecil","STL","RP","41.4","36","0","1","2","5.08","1.57","23","45","20","6","45","2","2"
"Chris Flexen","NYM","SP,RP","23.5","18","0","0","0","5.55","1.55","15","25","12","4","5","1","2"
"Matt Magill","MIN","RP","49.8","48","1","1","4","4.92","1.55","27","54","23","8","39","3","3"
"Jimmy Cordero","WSH","RP","21.0","16","0","0","0","5.14","1.76","12","24","13","3","27","1","2"
"Josh Tomlin","MIL","SP,RP","75.3","53","0","0","0","5.18","1.31","43","88","11","14","27","3","6"
"Tanner Rainey","WSH","SP,RP","21.5","24","0","0","0","4.60","1.60","11","18","17","3","24","1","2"
"Harrison Musgrave","COL","SP,RP","32.5","25","1","1","4","5.47","1.48","20","32","17","5","28","1","2"
"Nick Gardewine","TEX","RP","27.1","25","0","0","0","4.43","1.56","13","31","11","4","27","1","1"
"Randy Rosario","CHC","RP","35.7","26","0","1","7","4.53","1.60","18","39","18","4","33","2","2"
"Jarlin Garcia","MIA","SP,RP","58.6","41","1","1","4","4.92","1.35","32","57","22","8","54","3","3"
"Evan Phillips","BAL","RP","33.0","33","0","0","0","4.77","1.47","18","31","18","5","31","2","2"
"Tyler Kinley","MIA","RP","40.3","46","0","0","0","6.02","1.52","27","39","22","4","36","1","2"
"Sandy Baez","DET","RP","20.8","16","0","0","0","5.86","1.53","14","21","11","6","22","1","1"
"Wandy Peralta","CIN","RP","43.0","36","0","1","10","4.67","1.61","22","46","24","5","52","1","3"
"Thyago Vieira","CWS","RP","29.4","28","0","1","4","5.82","1.57","19","30","16","4","24","2","2"
"Brian Duensing","CHC","RP","31.7","26","0","1","6","5.12","1.58","18","33","17","6","46","2","2"
"Brian Flynn","KC","RP","55.3","39","1","1","8","4.44","1.54","27","60","25","6","43","2","4"
"Ryan Burr","CWS","RP","28.0","25","0","0","0","4.82","1.50","15","28","14","3","18","1","1"
"Buck Farmer","DET","RP","62.5","57","1","1","7","4.71","1.49","33","63","31","9","54","3","4"
"Elieser Hernandez","MIA","SP,RP","45.3","33","0","1","2","5.02","1.44","25","47","19","7","30","2","3"
"Lucas Sims","CIN","RP","30.4","27","0","0","0","5.23","1.51","18","31","15","3","11","2","3"
"Glenn Sparkman","KC","SP,RP","41.7","29","0","0","0","4.54","1.48","21","49","12","6","31","2","3"
"Pedro Araujo","BAL","RP","22.5","23","0","0","0","6.40","1.62","16","23","14","6","18","1","2"
"Jordan Romano","TEX","RP","36.0","29","0","0","0","5.13","1.44","21","38","15","12","40","2","2"
"Mike Wright","BAL","RP","72.0","66","0","0","0","5.00","1.51","40","81","28","8","42","3","4"
"Zac Reininger","DET","RP","39.7","34","0","0","0","5.82","1.55","26","46","16","6","34","2","2"
"Mike Dunn","COL","RP","37.1","38","0","1","8","5.91","1.71","24","39","24","7","45","1","2"
"David Hess","BAL","SP,RP","106.3","75","0","0","0","5.46","1.47","65","114","42","27","26","4","8"
"Martin Perez","MIN","SP,RP","111.0","76","0","0","0","4.76","1.53","59","128","41","12","17","7","7"
"Kyle Ryan","CHC","SP,RP","23.5","19","0","0","0","4.21","1.45","11","24","11","3","26","1","1"
"Odrisamer Despaigne","","SP,RP","38.5","27","0","0","0","4.56","1.56","20","44","16","4","22","3","2"
"Deck McGuire","","SP,RP","29.5","25","0","0","0","5.03","1.46","17","28","16","4","17","2","2"
"Daniel Zamora","NYM","P","40.5","47","0","2","10","3.56","1.23","16","34","17","4","44","2","3"
"Alec Asher","COL","SP,RP","26.5","16","0","0","0","5.09","1.40","15","28","9","4","6","2","2"
"Ben Lively","KC","SP,RP","29.3","21","0","0","0","4.62","1.43","15","32","10","4","15","1","2"
"Drew Anderson","PHI","SP,RP","16.0","13","0","0","0","5.06","1.38","9","17","6","3","10","1","1"
"Travis Bergen","SF","P","31.5","32","0","0","0","2.86","1.24","10","28","12","3","32","2","1"
"Elvis Luciano","TOR","P","39.7","35","0","0","0","5.11","1.55","23","41","21","4","25","2","2"
"Caleb Frare","CWS","P","34.5","39","0","0","3","3.52","1.39","14","28","20","4","44","3","2"
"Chad Sobotka","ATL","P","29.5","38","1","0","0","3.58","1.31","12","17","21","2","22","2","1"
"David Hale","NYY","SP,RP","16.0","10","0","0","0","5.63","1.56","10","20","6","2","7","1","1"
"Ian Hamilton","CWS","P","45.0","43","0","1","5","4.13","1.28","21","41","16","5","47","2","3"
"Jeffrey Springs","TEX","P","47.3","52","1","1","3","3.95","1.41","21","47","20","6","34","2","2"
"Louis Coleman","DET","RP","49.5","43","1","2","8","4.09","1.36","23","42","25","6","51","2","4"
"Fernando Salas","","RP","47.5","40","0","0","0","4.36","1.35","23","49","16","7","50","3","3"
"George Kontos","CHC","RP","30.5","25","0","0","0","4.13","1.25","14","28","10","3","23","2","2"
"Andrew Vasquez","MIN","P","27.7","36","0","0","0","4.12","1.35","13","25","12","3","40","2","1"
"Eddie Butler","","SP,RP","41.5","24","0","0","0","5.64","1.59","26","49","17","8","18","2","4"
"Dan Coulombe","NYY","RP","31.0","31","0","0","0","4.21","1.35","15","29","13","4","30","2","2"
"Kazuhisa Makita","SD","RP","38.0","37","1","0","0","4.74","1.37","20","37","15","6","32","2","3"
"Drew Rucinski","","RP","32.5","25","1","1","5","4.29","1.40","16","34","12","4","22","2","2"
"Erik Goeddel","","RP","33.5","37","0","0","2","4.57","1.40","17","30","17","5","32","2","2"
"Ryan Meisinger","STL","RP","18.5","19","0","0","0","5.35","1.35","11","16","9","2","13","1","1"
"Chris O'Grady","","RP","20.5","18","0","0","0","4.83","1.46","11","21","9","4","6","1","2"
"Reed Garrett","DET","P","17.1","15","0","0","0","4.74","1.49","9","18","8","4","25","1","1"
"Jose Fernandez","DET","RP","19.5","17","0","0","1","4.62","1.51","10","19","11","1","23","1","2"
"Jake Newberry","KC","P","32.7","31","0","0","1","4.86","1.59","18","34","18","4","28","2","2"
"John Means","BAL","P","22.6","20","0","0","0","5.18","1.42","13","25","8","4","3","1","2"
"Luis Santos","TB","RP","18.5","19","0","0","0","4.86","1.54","10","21","8","2","12","1","1"
"Mark Leiter Jr.","TOR","RP","27.0","25","0","0","0","5.33","1.50","16","30","11","4","16","1","3"
"William Cuevas","BOS","SP,RP","24.5","21","0","0","0","5.14","1.59","14","28","12","5","19","1","2"
"Braden Shipley","ARI","RP","20.0","12","0","0","0","6.30","1.70","14","24","11","5","10","1","1"
"Ranger Suarez","PHI","SP,RP","15.5","10","0","0","0","4.35","1.49","8","19","5","1","5","1","1"
"Timothy Peterson","NYM","P","34.5","35","0","1","4","4.17","1.22","16","31","11","5","31","2","2"
"Kyle Dowdy","NYM","P","13.1","13","0","0","0","4.12","1.34","6","13","5","3","25","1","1"
"Christian Pelham","TEX","P","28.0","27","0","0","0","5.46","1.66","17","30","17","3","32","1","2"
"Samuel McWilliams","KC","P","28.6","25","0","0","0","5.15","1.46","16","30","12","4","24","2","2"
""
""
