"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L"
"Wade LeBlanc","SEA","SP,RP","154.5","124","0","0","0","4.18","1.25","72","151","42","24","28","9","9"
"Jace Fry","CWS","RP","55.0","74","2","2","15","3.93","1.25","24","46","23","6","64","3","3"
"Dakota Hudson","STL","RP","55.0","41","0","0","0","3.60","1.45","22","52","29","5","57","4","3"
"Pat Neshek","PHI","RP","48.8","46","2","1","13","3.23","1.14","18","45","10","9","61","3","3"
"Max Fried","ATL","SP,RP","33.0","34","0","1","4","4.09","1.43","15","31","17","3","21","2","2"
"Jose Castillo","SD","RP","51.8","73","1","1","15","3.26","1.07","19","37","19","5","54","3","3"
"Addison Reed","MIN","RP","58.5","52","2","2","15","4.19","1.28","27","60","15","11","60","2","4"
"Will Harris","HOU","RP","51.3","58","1","2","16","3.25","1.15","19","46","13","6","57","3","3"
"Robbie Erlin","SD","SP,RP","125.5","104","0","0","0","4.00","1.24","56","132","24","16","23","8","8"
"Craig Stammen","SD","RP","75.3","81","2","2","20","3.17","1.16","27","66","21","7","65","3","4"
"Steve Cishek","CHC","RP","53.1","59","1","2","23","3.05","1.16","18","40","21","5","57","3","3"
"Luke Gregerson","STL","RP","40.1","44","0","1","7","4.49","1.35","20","40","15","5","48","2","2"
"Joe Kelly","LAD","RP","61.0","66","2","3","24","3.54","1.32","24","53","28","6","64","3","3"
"Adam Conley","MIA","RP","63.3","55","5","3","15","4.59","1.36","32","61","25","8","63","3","4"
"Seung-Hwan Oh","COL","RP","62.3","69","3","2","17","3.76","1.22","26","58","18","11","65","3","4"
"Alexander Claudio","MIL","RP","58.3","40","4","3","15","3.59","1.34","23","66","12","4","51","3","3"
"Amir Garrett","CIN","RP","60.8","65","1","3","20","4.78","1.38","32","57","27","9","55","3","3"
"Sergio Romo","MIA","SP,RP","60.7","69","10","3","0","4.20","1.27","28","57","20","11","70","3","2"
"Jared Hughes","CIN","RP","66.1","52","2","1","16","3.24","1.25","24","59","24","6","67","3","3"
"Lou Trivino","OAK","RP","63.6","71","1","2","25","3.36","1.22","24","51","27","6","61","4","3"
"Justus Sheffield","SEA","SP,RP","79.8","69","0","0","0","4.37","1.43","39","79","35","13","18","5","5"
"Pablo Lopez","MIA","SP,RP","45.3","38","0","0","0","3.87","1.26","20","44","13","5","7","3","3"
"Yusmeiro Petit","OAK","RP","74.3","68","1","1","14","3.60","1.10","30","66","16","11","59","4","4"
"Tayron Guerrero","MIA","RP","58.8","68","2","2","10","4.59","1.53","30","59","31","7","50","2","3"
"Jalen Beeks","TB","RP","70.8","68","1","0","0","4.35","1.39","34","68","31","12","21","5","4"
"David Hernandez","CIN","RP","62.5","65","1","2","16","3.38","1.16","24","54","18","8","59","3","3"
"Caleb Ferguson","LAD","SP,RP","48.0","54","1","1","14","3.42","1.17","18","42","14","7","42","3","3"
"Ryne Stanek","TB","SP,RP","52.5","67","1","0","0","3.60","1.24","21","42","24","6","43","3","2"
"Fernando Romero","MIN","SP,RP","51.7","41","0","0","0","4.41","1.44","25","55","19","6","32","3","3"
"Cionel Perez","HOU","RP","27.3","29","0","0","0","4.04","1.28","12","22","13","4","32","2","2"
"Ryan Borucki","TOR","SP,RP","139.3","103","0","0","0","4.04","1.38","63","140","53","17","25","8","8"
"Robert Gsellman","NYM","RP","72.3","62","1","2","14","4.23","1.35","34","73","25","7","51","4","5"
"Trevor Hildenberger","MIN","RP","58.8","59","6","4","17","4.25","1.30","28","58","19","7","55","3","4"
"Kyle Crick","PIT","RP","56.0","58","1","2","19","3.41","1.31","21","48","26","6","59","3","3"
"Tony Watson","SF","RP","58.0","58","4","3","31","3.26","1.19","21","53","16","6","62","3","4"
