"Player","Team","Positions","AB","R","HR","RBI","SB","AVG","OBP","H","2B","3B","BB","SO","SLG","OPS"
"Keon Broxton","NYM","CF","384","53","15","44","23",".220",".294","85","17","3","41","151",".392",".686"
"Steve Pearce","BOS","1B,LF,DH","285","43","14","47","1",".278",".353","79","17","1","33","59",".492",".845"
"Albert Almora","CHC","CF","429","57","8","47","2",".278",".320","119","25","1","27","84",".394",".714"
"Raimel Tapia","COL","CF","251","36","5","29","8",".274",".320","69","17","4","17","56",".428",".748"
"Phillip Ervin","CIN","LF,RF","178","23","5","26","7",".245",".315","44","9","2","18","47",".399",".713"
"Derek Fisher","HOU","LF,CF","72","10","3","9","2",".213",".292","15","2","0","8","29",".375",".667"
"Travis Jankowski","SD","LF,CF,RF","217","29","2","13","14",".249",".323","54","8","2","24","54",".325",".648"
"Aaron Altherr","PHI","CF,RF","254","34","9","37","4",".224",".302","57","11","2","29","84",".390",".692"
"Roman Quinn","PHI","LF,CF","277","35","5","30","17",".248",".310","69","12","4","25","75",".375",".684"
"Alex Gordon","KC","LF,CF","501","60","14","55","10",".234",".306","117","24","1","52","139",".366",".672"
"Alen Hanson","SF","2B,3B,SS,LF","345","46","9","38","12",".256",".291","88","19","6","17","75",".412",".703"
"Steven Duggar","SF","CF,RF,DH","462","59","6","44","12",".243",".308","112","28","5","44","149",".368",".676"
"Tyler Naquin","CLE","LF,CF,RF","348","48","10","47","4",".263",".315","92","18","2","26","92",".406",".721"
"Chad Pinder","OAK","2B,3B,LF,RF","219","30","10","27","1",".254",".306","56","11","1","17","64",".443",".749"
"Billy McKinney","TOR","LF,RF","433","55","19","52","3",".241",".306","104","24","4","41","117",".441",".747"
"Chris Owings","KC","2B,3B,CF,RF","312","37","7","34","11",".247",".292","77","19","2","20","76",".383",".675"
"Denard Span","","LF","329","46","8","36","7",".265",".332","87","17","4","33","54",".416",".748"
"Mikie Mahtook","DET","LF,RF","396","49","15","47","7",".237",".293","94","14","6","32","113",".410",".703"
"Lonnie Chisenhall","PIT","RF","325","40","9","47","4",".282",".341","92","20","3","29","67",".448",".788"
"Dustin Fowler","OAK","CF","247","31","6","31","9",".252",".289","62","13","5","13","58",".408",".697"
"Carlos Gomez","","RF","295","35","10","33","10",".225",".280","66","15","1","22","92",".379",".658"
"Magneuris Sierra","MIA","CF,RF","189","19","1","14","6",".221",".259","42","7","1","10","49",".282",".542"
"Clint Frazier","NYY","LF","193","32","8","24","3",".256",".325","49","11","2","20","58",".455",".780"
"Jacoby Jones","DET","LF,CF","432","53","12","41","13",".224",".272","97","20","4","29","146",".378",".649"
"Cameron Maybin","","LF,CF,RF","223","29","4","22","11",".252",".330","56","11","2","26","50",".363",".693"
"Austin Hays","BAL","CF,RF","145","17","6","21","2",".242",".283","35","6","1","8","36",".428",".711"
"Yairo Munoz","STL","3B,SS,CF","261","31","7","34","5",".263",".319","69","13","1","22","59",".400",".719"
"Derek Dietrich","","1B,LF","375","55","12","42","1",".270",".318","101","25","3","27","99",".438",".756"
"Brett Phillips","KC","CF","392","47","9","43","10",".222",".290","87","18","7","38","154",".360",".650"
"Austin Dean","MIA","LF","354","45","10","44","3",".256",".310","91","18","2","28","74",".395",".705"
"J.D. Davis","TOR","OF","27","4","0","2","1",".220",".281","6","1","0","2","6",".284",".565"
"Matt Adams","WSH","1B,LF","283","40","19","53","0",".261",".320","74","14","0","24","71",".500",".820"
"Nick Martini","OAK","LF","323","45","4","35","3",".268",".343","87","17","4","37","81",".374",".717"
"Curtis Granderson","","LF,RF,DH","293","45","12","33","3",".231",".324","68","15","2","40","87",".414",".738"
"Mac Williamson","SF","LF","398","50","16","53","4",".228",".293","91","19","1","36","118",".400",".692"
"Mark Canha","OAK","1B,LF,CF,RF","258","38","10","35","2",".240",".301","62","15","1","23","68",".421",".722"
"Hunter Dozier","KC","1B,3B,RF","444","51","12","49","4",".233",".295","103","26","4","39","144",".386",".681"
"Jordan Luplow","CLE","LF,RF","276","39","10","37","5",".243",".316","67","15","2","30","63",".417",".733"
"Melky Cabrera","PIT","RF","201","23","5","27","1",".280",".327","56","12","1","14","30",".422",".749"
"Jorge Bonifacio","KC","LF,RF","269","38","8","30","1",".244",".318","66","14","2","29","83",".396",".713"
"Jose Pirela","SD","1B,2B,LF,RF","231","30","4","23","4",".264",".313","61","13","1","17","47",".392",".705"
"Jose Osuna","PIT","1B,3B,RF","196","26","6","28","1",".259",".310","51","15","1","15","40",".435",".744"
"Blake Swihart","BOS","C,1B,LF,RF,DH","199","27","3","22","5",".226",".291","45","11","1","18","55",".333",".623"
"D.J. Stewart","BAL","LF","308","41","12","41","7",".236",".307","73","14","1","31","82",".391",".697"
"Austin Slater","SF","LF","326","39","5","40","9",".261",".323","85","17","2","30","92",".375",".698"
"Howie Kendrick","WSH","2B,LF","216","30","6","25","6",".306",".350","66","16","2","15","44",".450",".800"
"Jarrod Dyson","ARI","CF,RF","331","45","4","29","25",".234",".307","78","13","4","35","58",".325",".632"
"Anthony Kemp","HOU","LF,CF","212","30","3","22","8",".259",".328","55","10","2","22","34",".367",".695"
"Jose Bautista","","3B,LF,RF","221","34","9","30","3",".211",".330","47","11","0","39","68",".381",".711"
"Brock Holt","BOS","2B,SS,RF","254","34","5","31","5",".262",".335","67","14","1","28","56",".385",".719"
"Garrett Cooper","MIA","LF","308","30","7","38","2",".259",".315","80","19","1","25","79",".395",".709"
"Gerardo Parra","SF","LF,RF","264","32","5","35","5",".272",".314","72","11","1","16","51",".381",".696"
"Brian Goodwin","KC","LF,CF,RF","198","27","7","27","5",".242",".306","48","11","1","18","62",".415",".720"
"Austin Jackson","","CF","254","28","3","26","3",".261",".322","66","13","2","23","81",".363",".685"
"Robbie Grossman","MIN","LF,RF,DH","210","28","4","25","1",".262",".363","55","11","1","33","47",".388",".751"
"Nicky Delmonico","CWS","LF","301","38","10","34","2",".231",".303","70","15","4","31","81",".403",".705"
"Hunter Pence","TEX","LF,RF","174","19","4","22","1",".256",".305","45","5","1","12","41",".385",".690"
"Adam Engel","CWS","CF","405","47","8","34","14",".228",".270","92","18","4","24","127",".344",".614"
"Leury Garcia","CWS","2B,LF,CF,RF","276","31","6","32","11",".261",".294","72","11","3","13","71",".381",".674"
"Jake Marisnick","HOU","CF","198","31","9","26","6",".226",".278","45","9","1","14","68",".410",".688"
"Preston Tucker","","LF,RF","175","19","5","22","0",".211",".262","37","12","2","12","45",".359",".621"
"Charlie Culberson","ATL","3B,SS,LF","215","28","7","28","3",".255",".308","55","12","1","17","58",".410",".718"
"Jon Jay","CWS","LF,CF,RF,DH","325","45","3","27","3",".268",".314","87","13","4","22","68",".351",".665"
"Juan Lagares","NYM","CF","211","27","2","19","6",".257",".303","54","10","2","14","46",".357",".660"
"Cory Spangenberg","MIL","2B,3B,LF","298","38","9","33","7",".258",".312","77","11","2","24","92",".399",".711"
"Rajai Davis","NYM","LF,CF,DH","192","28","5","17","13",".239",".298","46","11","2","16","49",".346",".643"
"Alcides Escobar","","SS,CF","265","27","3","22","4",".244",".277","65","12","2","12","43",".332",".610"
"Andrew Toles","LAD","CF","161","22","5","21","3",".256",".299","41","11","1","10","39",".405",".704"
"Victor Reyes","DET","LF,RF,DH","213","29","2","19","8",".236",".269","50","9","3","10","47",".324",".594"
"Myles Straw","HOU","RF","136","21","5","16","7",".265",".336","36","6","1","15","29",".385",".720"
"Ben Gamel","MIL","LF,RF","254","37","4","27","5",".275",".342","70","13","3","26","62",".402",".744"
"Matt Joyce","OAK","LF","130","22","6","17","1",".237",".343","31","8","0","21","32",".418",".761"
"Drew Robinson","STL","2B,CF","97","15","4","11","2",".224",".306","22","4","0","12","39",".377",".683"
"Michael Hermosillo","LAA","LF,CF,RF","161","22","6","20","3",".248",".315","40","8","1","16","42",".383",".698"
"Joey Rickard","BAL","LF,CF,RF","321","39","7","33","6",".245",".305","79","15","1","28","75",".372",".677"
"Sam Travis","BOS","LF","55","6","1","6","0",".245",".291","14","3","0","4","15",".346",".636"
"Zack Granite","MIN","CF","33","4","0","2","2",".246",".300","8","1","0","3","4",".309",".609"
"Tim Locastro","ARI","CF","23","3","0","2","1",".250",".292","6","2","0","1","4",".337",".629"
"Mike Tauchman","COL","CF,RF","48","7","2","6","2",".260",".330","13","3","1","5","11",".405",".735"
"Dylan Cozens","PHI","LF","44","6","3","7","1",".203",".289","9","2","0","5","21",".426",".715"
"Chris Shaw","SF","LF","209","23","7","27","2",".235",".292","49","13","1","17","67",".394",".686"
"Jacoby Ellsbury","NYY","CF","188","30","3","22","10",".258",".332","49","11","2","21","37",".376",".707"
"Michael Reed","MIN","LF,CF","156","24","6","21","3",".260",".331","41","8","1","17","45",".415",".746"
"Socrates Brito","ARI","RF","187","24","6","23","4",".249",".304","47","10","2","15","51",".424",".728"
"Connor Joe","CIN","LF","135","17","6","19","1",".257",".333","35","7","1","16","35",".421",".754"
"Noel Cuevas","COL","LF,RF","144","17","4","17","2",".268",".312","39","7","2","9","30",".414",".726"
"Chris Young","","LF,CF,RF,DH","164","21","6","20","2",".223",".296","37","8","1","17","46",".401",".696"
"Drew Ferguson","SF","CF","156","19","4","18","3",".248",".316","39","8","1","16","42",".381",".697"
"Brandon Dixon","DET","1B,RF","137","17","5","17","3",".249",".302","34","8","1","10","43",".434",".735"
"Terrance Gore","KC","LF,DH","99","15","1","14","13",".222",".290","22","5","1","10","28",".243",".533"
"Rosell Herrera","MIA","2B,3B,CF,RF","232","24","2","21","5",".232",".288","54","11","2","19","52",".334",".622"
"Brandon Guyer","CWS","LF,RF","166","21","5","20","1",".225",".278","37","8","1","12","38",".376",".654"
"Matt Holliday","","LF","131","16","5","18","1",".237",".317","31","7","0","16","37",".414",".731"
"Ryan Rua","","1B,LF,RF","123","17","5","14","4",".220",".270","27","4","1","9","45",".382",".651"
"Guillermo Heredia","TB","LF,CF","178","20","3","14","2",".248",".315","44","6","0","18","32",".351",".666"
"Pablo Reyes","PIT","RF","107","14","3","12","3",".259",".317","28","6","1","9","23",".394",".711"
"Carlos Tocci","TEX","CF","138","17","3","14","2",".247",".305","34","7","1","12","39",".337",".642"
"Gorkys Hernandez","BOS","LF,CF","124","16","4","11","3",".239",".293","30","8","1","10","33",".374",".667"
"Mark Zagunis","CHC","RF","99","14","4","13","2",".244",".323","24","5","1","12","28",".386",".708"
"Sean Rodriguez","PHI","2B,SS,LF,CF","97","14","4","13","1",".220",".302","21","5","1","11","35",".402",".703"
"Johnny Field","CHC","LF,CF,RF","102","13","3","10","3",".230",".266","24","7","0","5","30",".380",".646"
"Matthew Szczur","ARI","LF,RF","116","15","3","12","1",".232",".311","27","6","1","13","29",".361",".672"
"Eric Young","BAL","LF,CF","101","12","2","10","4",".240",".296","24","4","1","8","25",".365",".660"
"Jim Adduci","CHC","1B,RF","80","10","2","10","2",".264",".308","21","3","0","5","21",".388",".696"
"Ryan Cordell","CWS","CF,RF","84","10","3","11","2",".238",".287","20","4","0","6","24",".377",".664"
"Jace Peterson","BAL","2B,3B,LF,RF","109","12","2","12","4",".217",".316","24","6","1","16","26",".333",".648"
"Dwight Smith Jr.","TOR","LF","78","10","3","10","1",".256",".324","20","6","0","8","18",".420",".743"
"Anthony Alford","TOR","LF","86","11","3","9","3",".235",".294","20","6","0","7","24",".340",".634"
"Dominic Smith","NYM","1B,LF","118","13","4","13","0",".220",".271","26","6","1","8","34",".358",".629"
"Rafael Ortega","ATL","LF,CF","97","13","1","7","4",".247",".318","24","2","1","10","14",".329",".646"
"Jose Adolis Garcia","STL","RF","79","11","3","10","1",".245",".304","19","6","1","7","22",".431",".734"
"Isaac Galloway","MIA","CF,DH","101","12","2","9","4",".224",".272","23","6","1","7","29",".350",".622"
"Abraham Almonte","","CF","111","14","3","10","2",".220",".294","24","5","2","12","30",".362",".656"
"Kristopher Negron","SEA","SS,LF","67","9","3","8","2",".243",".313","16","4","0","7","20",".367",".680"
"Mike Gerber","SF","LF","126","13","3","13","1",".211",".267","27","8","2","10","45",".327",".594"
"Craig Gentry","","LF,CF,RF","85","9","1","7","5",".241",".295","21","4","1","7","20",".305",".600"
"Gregor Blanco","NYM","LF,CF","100","13","2","7","4",".220",".294","22","2","1","11","28",".330",".624"
"J.B. Shuck","PIT","LF,CF,RF","99","11","1","7","3",".244",".307","24","3","0","9","14",".330",".636"
"Peter Bourjos","LAA","LF","94","11","2","7","1",".241",".279","23","4","2","5","25",".380",".659"
"Patrick Kivlehan","PIT","LF","48","7","2","7","1",".253",".304","12","1","0","4","15",".428",".731"
"Anthony Santander","BAL","LF,RF","101","10","2","10","1",".219",".253","22","5","1","5","20",".359",".612"
"Mason Williams","CIN","CF","73","9","1","5","1",".255",".303","19","2","0","5","16",".348",".651"
"Lane Adams","PHI","RF","56","7","1","6","4",".189",".256","11","2","0","5","24",".280",".536"
"Brandon Barnes","CLE","LF,CF,RF","53","6","1","7","2",".226",".281","12","5","0","4","18",".310",".590"
"Boog Powell","OAK","CF","70","10","1","5","2",".214",".295","15","2","0","8","17",".250",".545"
"Andrew Stevenson","WSH","LF,RF","69","8","1","6","2",".222",".278","15","2","0","5","19",".302",".580"
"Jake Smolinski","TB","CF","47","6","2","4","1",".223",".284","11","2","0","4","13",".350",".634"
"John Andreoli","SF","LF","51","6","0","5","2",".230",".316","12","2","1","6","16",".333",".649"
"Jack Reinheimer","BAL","LF","59","6","0","5","2",".225",".281","13","4","0","5","14",".271",".553"
"Ryan LaMarre","","LF,CF","46","4","1","4","1",".239",".293","11","3","0","4","15",".319",".611"
"Braxton Lee","NYM","RF","65","7","0","4","2",".208",".280","14","3","1","7","16",".271",".551"
"Shane Robinson","PHI","RF","52","7","0","3","2",".202",".239","11","2","0","3","9",".228",".466"
"Chris Bostick","BAL","2B,LF","25","2","0","2","0",".240",".283","6","2","0","2","7",".303",".586"
"Andrew Romine","PHI","1B,2B,3B,SS,CF","111","15","1","7","2",".222",".270","25","3","1","7","29",".303",".573"
"Dilson Herrera","","2B,LF","73","8","3","9","0",".228",".287","17","2","0","6","26",".385",".672"
""
""
